1 ……を呼ぶ,call
2 南アフリカ共和国,South Africa
3 ……が大好きである,love
4 私を……と呼んでください。,Call me
5 ……したい,want
6 ファン,fan
7 しばしば、よく,often
8 ……といっしょに,with
9 しかし,but
10 描く,draw
11 だから,so
12 …… について,about
13 授業,lesson
14 学級、 組,class
15 私たちの,our
16 カナダ,Canada
17 アメリカ,America
18 得意だ★3,be good at
19 中国の,Chinese
20 ……できない,cannot
21 いくつかの,some
22 親,parent
23 ……を許す,excuse
24 おっと,oops
25 さあ、ほら,here
26 どういたしまして。,You're welcome.
27 ありがとう。,Thank you.
28 シンボル,symbol
29 ……のかわりに,for
30 興味深い,interesting
31 お気に入りの,favorite
32 登場人物,character
33 ……もまた,also
34 ……の近くに,around
35 ……のあとに,after
36 オンラインで,online
37 放課後 2,after school
38 ろうか,hallway
39 (……に)勝つ,win
40 次の,next
41 運、 幸運,luck
42 ……の近くに,near
43 ニュージーランド,New Zealand
44 子イヌ,puppy
45 ……の中の,in
46 いつか,someday
47 たくさんの3,a lot of
48 彼らは彼女らはそれらは,they
49 ……の1つ★2,one of
50 いくつの,How many ?
51 正午,noon
52 最後の,last
53 ……のような,like
54 ……時,o'clock
55 前、正面,front
56 ……である、……になる, be
57 緊張して,nervous
58 心配する,worry
59 あなた自身を[に],yourself
60 ヒツジ,sheep
61 キーウィ[動物名],kiwi
62 正しい、 正確な,right
63 楽しむ 2,enjoy oneself
64 ……を見る 2,look at
65 よい,good
66 会う,meet
67 会う,meet
68 牛乳,milk
69 走る,run
70 する、演奏する,play
71 ……に加わる,join
72 友達,friend
73 水泳,swimming
74 学校,school
75 英語,English
76 (...) 歌う,sing
77 考える、 思う,think
78 先生,teacher
79 かっこいい,cool
80 ……を作る,make
81 とても,very
82 本当ですか,really
83 ……を飲む,drink
84 たいてい,usually
85 今日,today
86 何,what
87 だれ,who
88 なぜ,why
89 来る,come
90 どのように,how
91 日曜日,Sunday
92 月曜日,Monday
93 火曜日,Tuesday
94 水曜日,Wednesday
95 木曜日,Thursday
96 金曜日,Friday
97 土曜日,Saturday
98 週、 1週間,week
99 いつ,when
100 行く,go
